"","Gender","SchoolYear","Age","Race","UrbanRural","School","Goals","Grades","Sports","Looks","Money"
"1","boy",5,11,"White","Rural   ","Elm                 ","Sports ",1,2,4,3
"2","boy",5,10,"White","Rural   ","Elm                 ","Popular",2,1,4,3
"3","girl",5,11,"White","Rural   ","Elm                 ","Popular",4,3,1,2
"4","girl",5,11,"White","Rural   ","Elm                 ","Popular",2,3,4,1
"5","girl",5,10,"White","Rural   ","Elm                 ","Popular",4,2,1,3
"6","girl",5,11,"White","Rural   ","Elm                 ","Popular",4,2,1,3
"7","girl",5,10,"White","Rural   ","Elm                 ","Popular",3,4,1,2
"8","girl",5,10,"White","Rural   ","Elm                 ","Grades ",3,4,2,1
"9","girl",5,10,"White","Rural   ","Elm                 ","Sports ",3,2,1,4
"10","girl",5,10,"White","Rural","Elm","Sports",4,3,2,1
"11","girl",5,11,"White","Rural","Elm","Sports",2,3,1,4
"12","girl",4,10,"White","Rural","Elm","Grades",2,3,4,1
"13","boy",4,9,"White","Rural","Elm","Popular",2,3,4,1
"14","boy",4,9,"White","Rural","Elm","Popular",4,2,3,1
"15","boy",4,9,"Other","Rural","Elm","Popular",4,3,2,1
"16","girl",4,9,"White","Rural","Elm","Grades",1,3,2,4
"17","girl",4,9,"White","Rural","Elm","Sports",3,1,2,4
"18","girl",4,9,"White","Rural","Elm","Popular",3,4,1,2
"19","girl",4,9,"White","Rural","Elm","Grades",2,3,1,4
"20","girl",4,9,"White","Rural","Elm","Sports",3,2,1,4
"21","girl",4,9,"White","Rural","Elm","Popular",4,3,1,2
"22","girl",4,9,"White","Suburban","Brentwood_Elementary","Grades",1,4,2,3
"23","girl",4,9,"White","Suburban","Brentwood_Elementary","Popular",4,2,1,3
"24","girl",4,9,"White","Suburban","Brentwood_Elementary","Grades",4,3,2,1
"25","girl",4,7,"White","Suburban","Brentwood_Elementary","Grades",1,2,3,4
"26","girl",4,9,"White","Suburban","Brentwood_Elementary","Popular",2,3,1,4
"27","girl",4,10,"White","Suburban","Brentwood_Elementary","Popular",2,3,1,4
"28","girl",4,9,"White","Suburban","Brentwood_Elementary","Grades",4,2,1,3
"29","girl",4,10,"White","Suburban","Brentwood_Elementary","Popular",2,3,4,1
"30","boy",4,10,"White","Suburban","Brentwood_Elementary","Grades",1,2,4,3
"31","boy",4,10,"White","Suburban","Brentwood_Elementary","Grades",2,4,3,1
"32","boy",4,9,"White","Suburban","Brentwood_Elementary","Grades",1,2,4,3
"33","boy",4,9,"White","Suburban","Brentwood_Elementary","Grades",3,1,2,4
"34","boy",4,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"35","boy",4,11,"White","Suburban","Brentwood_Elementary","Sports",3,1,2,4
"36","boy",4,9,"White","Suburban","Brentwood_Elementary","Sports",4,3,2,1
"37","boy",4,10,"White","Suburban","Brentwood_Elementary","Popular",3,2,1,4
"38","boy",4,10,"White","Suburban","Brentwood_Elementary","Sports",3,1,4,2
"39","boy",4,10,"White","Suburban","Brentwood_Elementary","Grades",2,3,1,4
"40","boy",4,9,"White","Suburban","Brentwood_Elementary","Sports",4,1,3,2
"41","boy",4,9,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"42","boy",4,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,4,3
"43","boy",4,9,"White","Suburban","Brentwood_Elementary","Popular",3,2,4,1
"44","boy",5,11,"Other","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"45","boy",5,11,"White","Suburban","Brentwood_Elementary","Popular",2,1,4,3
"46","boy",5,11,"White","Suburban","Brentwood_Elementary","Grades",4,1,2,3
"47","boy",5,11,"White","Suburban","Brentwood_Elementary","Popular",4,3,1,2
"48","boy",5,11,"Other","Suburban","Brentwood_Elementary","Sports",4,2,1,3
"49","boy",5,11,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"50","boy",5,11,"White","Suburban","Brentwood_Elementary","Popular",3,2,1,4
"51","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"52","boy",5,11,"White","Suburban","Brentwood_Elementary","Sports",4,1,2,3
"53","boy",5,11,"White","Suburban","Brentwood_Elementary","Sports",3,1,2,4
"54","boy",5,10,"Other","Suburban","Brentwood_Elementary","Popular",3,2,1,4
"55","boy",5,10,"White","Suburban","Brentwood_Elementary","Sports",4,1,3,2
"56","boy",5,10,"White","Suburban","Brentwood_Elementary","Sports",4,1,3,2
"57","boy",5,11,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"58","boy",5,11,"White","Suburban","Brentwood_Elementary","Grades",1,2,4,3
"59","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,3,1,4
"60","boy",5,11,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"61","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"62","boy",5,10,"White","Suburban","Brentwood_Elementary","Popular",4,1,2,3
"63","boy",5,11,"Other","Suburban","Brentwood_Elementary","Grades",3,1,2,4
"64","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",3,4,1,2
"65","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,3,4
"66","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,4,3
"67","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",3,1,2,4
"68","boy",5,11,"White","Suburban","Brentwood_Elementary","Popular",4,2,1,3
"69","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",1,3,2,4
"70","boy",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,4,3
"71","boy",5,10,"White","Suburban","Brentwood_Elementary","Popular",4,2,1,3
"72","girl",5,9,"White","Suburban","Brentwood_Elementary","Popular",2,3,1,4
"73","girl",5,11,"White","Suburban","Brentwood_Elementary","Grades",3,2,1,4
"74","girl",5,12,"Other","Suburban","Brentwood_Elementary","Grades",2,3,1,4
"75","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",3,4,1,2
"76","girl",5,11,"White","Suburban","Brentwood_Elementary","Grades",2,4,1,3
"77","girl",5,11,"White","Suburban","Brentwood_Elementary","Grades",2,1,4,3
"78","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,3,1,4
"79","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",1,2,3,4
"80","girl",5,12,"White","Suburban","Brentwood_Elementary","Popular",3,4,1,2
"81","girl",5,11,"White","Suburban","Brentwood_Elementary","Grades",1,4,2,3
"82","girl",5,11,"White","Suburban","Brentwood_Elementary","Grades",3,4,1,2
"83","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",3,1,2,4
"84","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",2,1,4,3
"85","girl",5,10,"White","Suburban","Brentwood_Elementary","Popular",2,3,1,4
"86","girl",5,10,"White","Suburban","Brentwood_Elementary","Popular",3,2,1,4
"87","girl",5,10,"White","Suburban","Brentwood_Elementary","Grades",1,3,2,4
"88","girl",5,11,"White","Suburban","Brentwood_Elementary","Sports",1,3,2,4
"89","girl",6,11,"Other","Suburban","Brentwood_Middle","Popular",2,3,1,4
"90","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,3,2,4
"91","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,3,4,2
"92","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"93","girl",6,11,"White","Suburban","Brentwood_Middle","Sports",1,2,3,4
"94","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,4,1,2
"95","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,2,3,4
"96","girl",6,13,"White","Suburban","Brentwood_Middle","Grades",2,4,1,3
"97","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,2,1,3
"98","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"99","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",3,4,1,2
"100","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",2,3,1,4
"101","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"102","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"103","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"104","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"105","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"106","girl",6,11,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"107","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,2,1
"108","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,2,3,4
"109","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"110","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"111","girl",6,12,"White","Suburban","Brentwood_Middle","Popular",2,3,1,4
"112","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",2,1,3,4
"113","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",2,3,1,4
"114","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",4,3,1,2
"115","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"116","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"117","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",3,4,1,2
"118","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"119","girl",6,12,"White","Suburban","Brentwood_Middle","Sports",4,3,2,1
"120","girl",6,11,"White","Suburban","Brentwood_Middle","Popular",1,3,2,4
"121","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"122","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"123","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"124","girl",6,12,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"125","girl",6,11,"White","Suburban","Brentwood_Middle","Grades",4,2,1,3
"126","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"127","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"128","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,2,1,4
"129","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",4,2,1,3
"130","boy",6,12,"Other","Suburban","Brentwood_Middle","Grades",4,1,2,3
"131","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,3,4,2
"132","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"133","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"134","boy",6,12,"Other","Suburban","Brentwood_Middle","Grades",2,1,3,4
"135","boy",6,12,"Other","Suburban","Brentwood_Middle","Popular",4,3,1,2
"136","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"137","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"138","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"139","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,1,4,3
"140","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"141","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"142","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"143","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"144","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"145","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,3,1,4
"146","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"147","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"148","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",3,1,2,4
"149","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",3,1,2,4
"150","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",2,1,4,3
"151","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"152","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,4,3
"153","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"154","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",2,1,3,4
"155","boy",6,11,"White","Suburban","Brentwood_Middle","Sports",2,1,3,4
"156","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,1,3,2
"157","boy",5,11,"White","Suburban","Brentwood_Middle","Popular",3,2,1,4
"158","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",3,2,1,4
"159","boy",6,11,"White","Suburban","Brentwood_Middle","Popular",3,1,4,2
"160","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"161","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",2,3,1,4
"162","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"163","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",2,1,3,4
"164","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",4,3,2,1
"165","boy",6,12,"White","Suburban","Brentwood_Middle","Popular",4,1,2,3
"166","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,1,2,3
"167","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",4,3,1,2
"168","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",1,2,3,4
"169","boy",6,13,"White","Suburban","Brentwood_Middle","Sports",1,2,4,3
"170","boy",6,11,"White","Suburban","Brentwood_Middle","Grades",2,1,3,4
"171","boy",6,12,"White","Suburban","Brentwood_Middle","Sports",3,1,2,4
"172","boy",6,12,"White","Suburban","Brentwood_Middle","Grades",1,2,3,4
"173","girl",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"174","girl",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"175","girl",4,9,"White","Rural","Ridge","Popular",1,4,3,2
"176","girl",4,9,"White","Rural","Ridge","Popular",2,4,1,3
"177","girl",4,9,"White","Rural","Ridge","Sports",1,2,3,4
"178","girl",4,9,"White","Rural","Ridge","Popular",3,4,1,2
"179","girl",4,9,"White","Rural","Ridge","Sports",2,3,1,4
"180","girl",4,9,"White","Rural","Ridge","Grades",1,4,2,3
"181","girl",4,9,"White","Rural","Ridge","Sports",3,2,1,4
"182","girl",4,9,"White","Rural","Ridge","Sports",2,1,3,4
"183","girl",4,9,"White","Rural","Ridge","Popular",2,3,1,4
"184","girl",4,9,"White","Rural","Ridge","Popular",4,2,1,3
"185","girl",4,10,"White","Rural","Ridge","Grades",1,2,3,4
"186","boy",4,9,"White","Rural","Ridge","Grades",3,4,2,1
"187","boy",4,10,"White","Rural","Ridge","Grades",2,1,3,4
"188","boy",4,9,"White","Rural","Ridge","Grades",1,2,3,4
"189","boy",4,9,"White","Rural","Ridge","Popular",2,3,1,4
"190","boy",4,10,"White","Rural","Ridge","Sports",4,1,2,3
"191","boy",4,9,"White","Rural","Ridge","Popular",1,2,4,3
"192","boy",4,9,"White","Rural","Ridge","Sports",2,1,4,3
"193","boy",4,9,"White","Rural","Ridge","Popular",4,3,1,2
"194","boy",4,9,"White","Rural","Ridge","Popular",3,4,1,2
"195","boy",4,9,"White","Rural","Ridge","Grades",1,3,2,4
"196","boy",5,10,"White","Rural","Ridge","Grades",1,3,2,4
"197","boy",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"198","boy",5,10,"White","Rural","Ridge","Sports",4,2,1,3
"199","boy",5,11,"White","Rural","Ridge","Sports",2,3,4,1
"200","boy",5,10,"White","Rural","Ridge","Popular",1,4,3,2
"201","boy",5,11,"White","Rural","Ridge","Grades",1,2,4,3
"202","boy",5,11,"White","Rural","Ridge","Popular",3,2,1,4
"203","boy",5,10,"White","Rural","Ridge","Sports",1,2,4,3
"204","boy",5,10,"White","Rural","Ridge","Sports",2,1,3,4
"205","boy",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"206","boy",5,11,"White","Rural","Ridge","Popular",4,1,2,3
"207","boy",5,10,"White","Rural","Ridge","Grades",3,1,2,4
"208","boy",5,10,"White","Rural","Ridge","Popular",4,2,1,3
"209","girl",5,10,"White","Rural","Ridge","Sports",3,1,2,4
"210","girl",5,10,"White","Rural","Ridge","Grades",3,2,1,4
"211","girl",5,10,"White","Rural","Ridge","Popular",2,3,1,4
"212","girl",5,10,"White","Rural","Ridge","Popular",3,2,1,4
"213","girl",5,11,"White","Rural","Ridge","Sports",4,2,1,3
"214","girl",5,10,"White","Rural","Ridge","Grades",1,2,4,3
"215","girl",5,11,"White","Rural","Ridge","Popular",4,2,1,3
"216","girl",5,11,"White","Rural","Ridge","Grades",1,3,4,2
"217","girl",5,10,"White","Rural","Ridge","Popular",4,3,1,2
"218","girl",5,10,"White","Rural","Ridge","Popular",1,2,3,4
"219","girl",5,11,"White","Rural","Ridge","Grades",1,3,2,4
"220","girl",5,10,"White","Rural","Ridge","Grades",1,2,3,4
"221","boy",5,12,"White","Rural","Sand","Sports",2,1,3,4
"222","boy",5,10,"White","Rural","Sand","Popular",4,3,1,2
"223","boy",5,10,"White","Rural","Sand","Popular",2,1,3,4
"224","boy",5,10,"White","Rural","Sand","Sports",4,1,2,3
"225","boy",5,10,"White","Rural","Sand","Sports",2,1,4,3
